config,csv_schema,2
config,question_id,SampleNurse002
config,mode,rb
config,num_options,5
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【感染対策】手指衛生のタイミングに関する次の記述について答えよ。__SELPROMPT__
option1C,string,ja,患者に触れる前には手指衛生を行う
option1W,string,ja,患者に触れる前の手指衛生は不要である
feedback1,string,ja,患者に触れる前は、手指衛生を行う重要なタイミングです。
option2C,string,ja,患者に触れた後には手指衛生を行う
option2W,string,ja,患者に触れた後でも、手が乾いていれば手指衛生は不要である
feedback2,string,ja,患者に触れた後は、患者や周囲への微生物伝播を防ぐため手指衛生を行います。
option3C,string,ja,清潔操作や無菌操作の前には手指衛生を行う
option3W,string,ja,清潔操作や無菌操作の後だけ手指衛生を行えばよい
feedback3,string,ja,清潔操作・無菌操作の前に手指衛生を行い、患者を感染から守ります。
option4C,string,ja,血液や体液に触れた可能性がある場合、その後に手指衛生を行う
option4W,string,ja,血液や体液に触れても、手袋を着けていれば手指衛生は不要である
feedback4,string,ja,体液曝露の後は、手袋の使用にかかわらず手指衛生が必要です。
option5C,string,ja,患者周囲の物品に触れた後にも手指衛生を行う
option5W,string,ja,患者周囲の物品だけに触れた場合、手指衛生は不要である
feedback5,string,ja,患者のベッド周囲や医療機器などに触れた後も、手指衛生のタイミングです。
