config,csv_schema,2
config,question_id,SampleNurse008
config,mode,rb
config,num_options,5
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【感染対策】患者ケア用器材に関する次の記述について答えよ。__SELPROMPT__
option1C,string,ja,再使用する器材は、患者間で適切に洗浄・消毒または滅菌する
option1W,string,ja,再使用する器材は、患者間で処理せずそのまま使用する
feedback1,string,ja,再使用可能な器材は、用途と感染リスクに応じて患者間で再処理します。
option2C,string,ja,単回使用器材は、定められた使用方法に従う
option2W,string,ja,単回使用器材は、洗浄せず何度でも再使用する
feedback2,string,ja,器材の表示と施設の手順に従い、単回使用器材を不適切に再使用しません。
option3C,string,ja,汚染した器材は、周囲や人を汚染しないように取り扱う
option3W,string,ja,汚染した器材は、清潔な器材と混ぜて運ぶ
feedback3,string,ja,汚染器材は、環境や人への微生物伝播を防ぐ方法で回収・運搬します。
option4C,string,ja,器材の消毒では、製品や施設で定めた濃度と接触時間を守る
option4W,string,ja,器材の消毒では、消毒薬の濃度や接触時間を確認しない
feedback4,string,ja,消毒効果を得るため、対象物と製品に応じた使用条件を守ります。
option5C,string,ja,患者専用にできる器材は、必要に応じて専用化を検討する
option5W,string,ja,接触予防策中でも、器材は処理せず他患者と共用する
feedback5,string,ja,器材の専用化または患者間の適切な再処理により、接触伝播を防ぎます。
