config,csv_schema,2
config,question_id,SampleNurse006
config,mode,rb
config,num_options,5
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【感染対策】鋭利器材の安全な取扱いに関する次の記述について答えよ。__SELPROMPT__
option1C,string,ja,使用済み注射針のリキャップは、原則として行わない
option1W,string,ja,使用済み注射針は、両手で必ずリキャップする
feedback1,string,ja,針刺し防止のため、使用済み注射針のリキャップは原則として避けます。
option2C,string,ja,使用済みの鋭利器材は、耐貫通性の専用容器へ速やかに廃棄する
option2W,string,ja,使用済みの鋭利器材は、一般ごみ箱へ廃棄する
feedback2,string,ja,使用場所の近くに専用容器を配置し、使用後は速やかに廃棄します。
option3C,string,ja,使用済み注射針を手で曲げたり折ったりしない
option3W,string,ja,使用済み注射針は、廃棄前に手で曲げる
feedback3,string,ja,針を手で曲げる、折る、外すなどの危険な操作は避けます。
option4C,string,ja,安全機構付き器材が利用できる場合は、その適切な使用を検討する
option4W,string,ja,安全機構付き器材は、針刺し防止には利用しない
feedback4,string,ja,安全機構付き器材は、適切な教育とともに針刺し防止へ活用します。
option5C,string,ja,針刺しが起きた場合は、施設の手順に沿って速やかに報告・対応する
option5W,string,ja,針刺しが起きても、出血が少なければ報告しない
feedback5,string,ja,針刺し・切創時は直ちに所定の初期対応と報告を行い、曝露後評価につなげます。
