config,csv_schema,2
config,question_id,SampleNurse009
config,mode,rb
config,num_options,5
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【感染対策】接触予防策に関する次の記述について答えよ。__SELPROMPT__
option1C,string,ja,接触予防策は、標準予防策に追加して実施する
option1W,string,ja,接触予防策を行う場合は、標準予防策を中止する
feedback1,string,ja,感染経路別予防策は標準予防策に追加して行います。
option2C,string,ja,患者や患者周囲への接触が予想される場合、手袋やガウンを適切に使用する
option2W,string,ja,患者周囲への接触が予想されても、手袋やガウンは使用しない
feedback2,string,ja,接触の種類と汚染リスクに応じて、入室時などに手袋・ガウンを使用します。
option3C,string,ja,病室を出る前に、汚染した個人防護具を適切に外す
option3W,string,ja,汚染した手袋のまま病室外の共用物品に触れる
feedback3,string,ja,汚染した個人防護具を適切な場所で外し、病室外への汚染拡大を防ぎます。
option4C,string,ja,患者ケア後や患者周囲へ触れた後は、手指衛生を行う
option4W,string,ja,接触予防策では、患者ケア後の手指衛生を省略する
feedback4,string,ja,個人防護具を外した後を含め、必要なタイミングで手指衛生を行います。
option5C,string,ja,患者移動は、医療上必要な範囲に調整する
option5W,string,ja,接触予防策が必要な患者を、目的なく院内各所へ移動させる
feedback5,string,ja,不要な移動や搬送を減らし、移動時は感染伝播を防ぐ措置を講じます。
