config,csv_schema,2
config,question_id,CIV01
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【民法：未成年者と意思能力】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,民法上、年齢18歳をもって成年となる
option1W,string,ja,民法上、年齢20歳をもって成年となる
feedback1,string,ja,民法4条は成年年齢を18歳と定めています。
option2C,string,ja,未成年者が法律行為をするには、原則として法定代理人の同意が必要である
option2W,string,ja,未成年者がする法律行為には、法定代理人の同意は一切必要ない
feedback2,string,ja,未成年者の法律行為は原則として法定代理人の同意を要し、同意のない行為は取り消せます（民法5条）。
option3C,string,ja,法定代理人が目的を定めて処分を許した財産は、その目的の範囲内で未成年者が自由に処分できる
option3W,string,ja,未成年者は、法定代理人から処分を許された財産も自分では処分できない
feedback3,string,ja,処分を許された財産については、許された目的または範囲で未成年者が処分できます（民法5条3項）。
option4C,string,ja,意思能力を有しなかった時にした法律行為は無効である
option4W,string,ja,意思能力を有しなかった時にした法律行為も常に有効である
feedback4,string,ja,法律行為の時に意思能力がなければ、その法律行為は無効です（民法3条の2）。
