config,csv_schema,2
config,question_id,CIV04
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【民法：消滅時効】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,一般の債権は、権利を行使できると知った時から5年間行使しないとき、時効で消滅する
option1W,string,ja,一般の債権は、権利を行使できると知ってから1年間で必ず消滅する
feedback1,string,ja,一般の債権には、知った時から5年という消滅時効期間があります（民法166条1項1号）。客観的起算点からの期間もあります。
option2C,string,ja,時効の利益を受けるには、原則として当事者が時効を援用する必要がある
option2W,string,ja,裁判所は、当事者の主張がなくても必ず職権で時効を適用する
feedback2,string,ja,裁判所は当事者が援用しなければ時効による裁判をできません（民法145条）。
option3C,string,ja,時効の利益は、時効が完成する前にあらかじめ放棄できない
option3W,string,ja,時効の利益は、契約時にあらかじめ自由に放棄できる
feedback3,string,ja,時効完成前の利益放棄はできません（民法146条）。完成後の扱いとは区別します。
option4C,string,ja,権利の承認があると、時効はその時から新たに進行する
option4W,string,ja,債務者が権利を承認しても、時効の進行には一切影響しない
feedback4,string,ja,権利の承認は時効の完成猶予・更新制度における更新事由です（民法152条）。
