config,csv_schema,2
config,question_id,NUR10
config,mode,rb
config,num_options,5
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【感染対策】医療環境の感染対策に関する次の記述について答えよ。__SELPROMPT__
option1C,string,ja,高頻度接触面は、施設の手順に従って清掃・消毒する
option1W,string,ja,高頻度接触面は、目に見える汚れがなければ清掃しない
feedback1,string,ja,ベッド柵などの高頻度接触面は、定められた頻度と方法で清掃・消毒します。
option2C,string,ja,環境清掃では、清潔区域から汚染区域へ進めるなど再汚染を防ぐ
option2W,string,ja,環境清掃では、汚染した清掃用具で清潔区域から先に汚染する
feedback2,string,ja,清掃の順序や清掃用具の管理により、微生物を広げないようにします。
option3C,string,ja,血液や体液で環境が汚染された場合は、施設の手順に従って速やかに処理する
option3W,string,ja,血液や体液で環境が汚染されても、自然に乾くまで放置する
feedback3,string,ja,曝露を防ぐ個人防護具を用い、施設の手順と適切な消毒薬で処理します。
option4C,string,ja,清掃用具は、使用後に適切に処理・保管する
option4W,string,ja,使用済み清掃用具は、濡れたまま清潔物品と一緒に保管する
feedback4,string,ja,清掃用具自体が感染源にならないよう、使用後の処理と乾燥・保管を行います。
option5C,string,ja,環境清掃の担当者にも、方法と個人防護具について教育する
option5W,string,ja,環境清掃は誰でも同じようにできるため、教育や手順は不要である
feedback5,string,ja,標準化した手順、教育、実施状況の確認が安全で有効な環境清掃を支えます。
