config,csv_schema,2
config,question_id,ICT03
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【情報・AIリテラシー：更新とマルウェア対策】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,OSやアプリのセキュリティ更新は、既知の脆弱性を修正するため速やかに適用する
option1W,string,ja,セキュリティ更新は機能追加だけなので、既知の脆弱性対策には関係しない
feedback1,string,ja,攻撃に利用される前に更新できるよう、自動更新や組織の更新手順を活用します。
option2C,string,ja,サポートが終了したソフトウェアは更新が提供されないため、移行を計画する
option2W,string,ja,サポート終了後のソフトウェアは新たな脆弱性が見つからないので安全である
feedback2,string,ja,修正プログラムが提供されない状態はリスクが蓄積するため、代替製品や隔離などを検討します。
option3C,string,ja,不明な添付ファイルやマクロの有効化要求は、送信者へ別経路で確認する
option3W,string,ja,知人のアドレスから届いた添付なら、乗っ取りの可能性はなく必ず安全である
feedback3,string,ja,正規アカウントが乗っ取られる場合もあります。予期しない内容や実行要求を慎重に確認します。
option4C,string,ja,感染が疑われる端末は、被害拡大を避けるため組織の手順に従いネットワーク隔離と報告を行う
option4W,string,ja,感染が疑われても、証拠を残さず自己判断で使い続けるのが最善である
feedback4,string,ja,初動で通信を抑え、担当部署へ状況を伝えることが封じ込めと原因調査に役立ちます。勝手な初期化は避けます。
