config,csv_schema,2
config,question_id,ECO05
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【経済学基礎：市場の失敗】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,負の外部性が価格に反映されない市場では、社会的に望ましい量より多く生産されることがある
option1W,string,ja,負の外部性が価格に反映されなくても、市場生産量は必ず社会的最適量と一致する
feedback1,string,ja,当事者以外への費用を意思決定者が負担しないと、私的限界費用が社会的限界費用を下回ります。
option2C,string,ja,純粋公共財は、非競合性と非排除性を持つ
option2W,string,ja,純粋公共財は、必ず競合性と排除性の両方を持つ
feedback2,string,ja,非競合性は他者の利用を妨げにくいこと、非排除性は対価を払わない人を排除しにくいことです。
option3C,string,ja,共有資源は、一般に競合性がある一方で利用者を排除しにくい
option3W,string,ja,共有資源は、誰が利用しても残量が減らず、利用者を完全に排除できる
feedback3,string,ja,漁場などの共有資源は利用が競合し、排除が難しいため過剰利用が問題になります。
option4C,string,ja,取引当事者の一方が多くの情報を持つ情報の非対称性は、市場取引を妨げることがある
option4W,string,ja,売り手と買い手の情報量が異なっても、市場結果には決して影響しない
feedback4,string,ja,逆選択やモラルハザードは、情報の非対称性から生じる代表的な問題です。
