config,csv_schema,2
config,question_id,ETH03
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【研究倫理：オーサーシップ】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,著者には、研究への実質的貢献と成果への説明責任が求められる
option1W,string,ja,研究に関与していなくても、地位が高い人は必ず著者に加えなければならない
feedback1,string,ja,名誉著者を避け、分野・雑誌の基準に沿って実質的貢献と責任を確認します。
option2C,string,ja,著者順や役割は、研究の早い段階から話し合い、貢献の変化に応じて見直す
option2W,string,ja,著者順は投稿直前まで話題にせず、責任者が一人で秘密に決めるのが望ましい
feedback2,string,ja,早期の合意と記録は紛争を減らし、実際の貢献を適切に反映しやすくします。
option3C,string,ja,著者基準を満たさない支援には、本人の同意を得て謝辞で貢献を示す方法がある
option3W,string,ja,著者にならない貢献者は、どれほど支援しても成果物に一切示してはいけない
feedback3,string,ja,技術支援、資金獲得、校閲などは、著者資格との関係を確認して謝辞や貢献声明で透明化します。
option4C,string,ja,責任著者は連絡窓口であるだけでなく、投稿手続や共著者確認にも責任を持つ
option4W,string,ja,責任著者はメールを受け取るだけで、共著者の同意確認には関与しなくてよい
feedback4,string,ja,全著者が最終稿と投稿に同意し、各自の貢献と説明責任を理解することが重要です。
