config,csv_schema,2
config,question_id,STA01
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【統計リテラシー：母集団と標本】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,母集団は、調査や推測の対象となる要素全体を指す
option1W,string,ja,母集団は、実際に回答した少数の対象だけを必ず指す
feedback1,string,ja,知りたい対象全体が母集団で、そこから観測のために取り出した一部が標本です。
option2C,string,ja,標本統計量は、標本から計算して母数の推定などに用いる
option2W,string,ja,標本統計量は、母集団を観測しなくても必ず母数と完全に一致する
feedback2,string,ja,標本平均などは標本ごとに変動するため、推定には標本誤差の評価が必要です。
option3C,string,ja,全数調査でも、回答漏れや測定誤差などの非標本誤差は生じ得る
option3W,string,ja,全数調査をすれば、あらゆる種類の誤差が必ずゼロになる
feedback3,string,ja,全数調査は標本抽出に伴う誤差を避けられますが、未回答や入力・測定上の誤差は残り得ます。
option4C,string,ja,標本が母集団を適切に代表しなければ、標本数が多くても偏った推定になり得る
option4W,string,ja,標本数さえ多ければ、選び方が偏っていても推定は必ず正しい
feedback4,string,ja,大標本は偶然誤差を小さくしますが、選択バイアスを自動的には解消しません。
