config,csv_schema,2
config,question_id,ICT09
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【情報・AIリテラシー：生成AIの利用】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,生成AIの回答は流暢でも誤り得るため、重要事項は信頼できる原典で検証する
option1W,string,ja,生成AIの文章が自然なら、事実や引用文献も必ず正しい
feedback1,string,ja,生成AIはもっともらしい誤情報を作ることがあります。特に医療・法務・評価では専門家と一次資料を確認します。
option2C,string,ja,生成AIへ入力する前に、個人情報・機密情報・未公表資料の扱いを確認する
option2W,string,ja,生成AIへの入力内容は誰にも保存・利用されないので、機密情報を無条件で貼り付けてよい
feedback2,string,ja,サービスの契約、学習利用設定、保存期間、所属組織の規程を確認し、必要なら匿名化します。
option3C,string,ja,良い指示には、目的、前提、対象読者、制約、望む出力形式を具体的に含める
option3W,string,ja,生成AIには文脈を与えず一語だけ入力するほど、常に目的に合う回答が得られる
feedback3,string,ja,必要な背景と評価基準を伝え、出力を検証して反復することで利用目的へ近づけます。
option4C,string,ja,生成AIを利用した成果物でも、提出者が内容と権利、出典に責任を持つ
option4W,string,ja,生成AIが作った部分については、提出者は誤りや盗用への責任を負わない
feedback4,string,ja,利用規程に従ってAI利用を開示し、事実確認、引用確認、独自性、著作権を人が点検します。
