config,csv_schema,2
config,question_id,ETH10
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【研究倫理：生成AIと研究公正】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,生成AIの出力には誤りや架空の引用が含まれ得るため、研究者が原典を確認する
option1W,string,ja,生成AIが示した文献情報は、原典を確認せずそのまま引用してよい
feedback1,string,ja,AI出力は検証可能な根拠ではありません。著者が一次資料を確認し、引用の正確性に責任を持ちます。
option2C,string,ja,機密情報や未公表データを生成AIへ入力する前に、契約・設定・所属機関の規程を確認する
option2W,string,ja,無料の生成AIには、個人情報や未公表データを無条件で入力してよい
feedback2,string,ja,入力内容の保存・学習利用・越境移転・アクセス権を確認し、許可のない機密情報は入力しません。
option3C,string,ja,生成AIを利用した場合は、投稿先や授業、所属機関の方針に従って利用範囲を開示する
option3W,string,ja,生成AIの利用は、規程が開示を求めていても必ず隠す
feedback3,string,ja,透明性を確保するには、使用したツール、目的、範囲、検証方法を必要に応じて記録・開示します。
option4C,string,ja,生成AIを使っても、研究内容と提出物に対する最終責任は人間の研究者・著者が負う
option4W,string,ja,生成AIを使えば、研究者は誤りや権利侵害への責任をすべて免れる
feedback4,string,ja,AIは責任主体になれないため、正確性、独創性、機密性、著作権などを人が確認します。
