config,csv_schema,2
config,question_id,STA03
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【統計リテラシー：代表値と分布】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,平均値は、すべての観測値を合計して観測数で割った値である
option1W,string,ja,平均値は、観測値を大きさ順に並べた中央の値だけを指す
feedback1,string,ja,合計を個数で割るのが算術平均で、中央の値を使うのは中央値です。
option2C,string,ja,中央値は、極端な外れ値の影響を平均値より受けにくい
option2W,string,ja,中央値は、一つの極端な外れ値によって平均値以上に大きく動く
feedback2,string,ja,中央値は順位に基づくため、所得や待ち時間など歪んだ分布の中心を示すのに役立ちます。
option3C,string,ja,最頻値は、最も頻繁に現れる値またはカテゴリーである
option3W,string,ja,最頻値は、必ず観測値の合計を観測数で割って求める
feedback3,string,ja,最頻値は度数に基づき、名義尺度のカテゴリーにも利用できます。
option4C,string,ja,同じ平均値を持つ二つのデータでも、ばらつきや分布の形は異なり得る
option4W,string,ja,平均値が同じ二つのデータは、各観測値と分布の形も必ず同じである
feedback4,string,ja,中心だけでは分布を十分に記述できないため、散布度やグラフも併せて確認します。
