config,csv_schema,2
config,question_id,ECO06
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【経済学基礎：GDPと経済成長】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,GDPは、一定期間に国内で生産された最終的な財・サービスの付加価値を捉える指標である
option1W,string,ja,GDPは、国内で保有される土地や中古品の価値を毎期すべて合計した指標である
feedback1,string,ja,GDPは期間中の国内生産を捉え、中間財の二重計上を避けて付加価値を合計します。
option2C,string,ja,名目GDPは当年価格で評価し、実質GDPは価格変動の影響を調整する
option2W,string,ja,名目GDPと実質GDPは、物価が変化しても常に同じ値になる
feedback2,string,ja,実質化により、生産量の変化と価格の変化を分けて考えられます。
option3C,string,ja,中古品そのものの再販売額は、通常、その年のGDPへ新たな生産として算入しない
option3W,string,ja,中古品が売買されるたび、その販売額全額をその年の新規生産としてGDPに加える
feedback3,string,ja,中古品は過去の生産物ですが、当年に提供された仲介サービスなどは当年のGDPに含まれ得ます。
option4C,string,ja,一人当たり実質GDPは生活水準の一側面を示すが、幸福や分配のすべてを表すわけではない
option4W,string,ja,一人当たり実質GDPだけで、所得分配や環境、余暇を含む福祉のすべてが分かる
feedback4,string,ja,GDPは重要な生産指標ですが、分配、非市場活動、環境、健康などは別の指標も必要です。
