config,csv_schema,2
config,question_id,CIV05
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【民法：債務不履行と同時履行】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,債務者が債務の本旨に従った履行をしないとき、要件を満たせば債権者は損害賠償を請求できる
option1W,string,ja,債務者が契約どおりに履行しなくても、債権者は損害賠償を一切請求できない
feedback1,string,ja,債務不履行による損害賠償は民法415条に定められ、帰責事由などが問題になります。
option2C,string,ja,履行不能であるときは、債権者はその履行を請求できない
option2W,string,ja,社会通念上履行不能でも、債権者は必ず現実の履行を請求できる
feedback2,string,ja,契約その他の債務発生原因と取引上の社会通念に照らして履行不能なら、履行請求はできません（民法412条の2）。
option3C,string,ja,双務契約では、相手方が履行を提供するまで自己の履行を拒める場合がある
option3W,string,ja,双務契約では、相手方が全く履行しなくても自己の履行を拒むことはできない
feedback3,string,ja,双務契約には同時履行の抗弁権があります（民法533条）。相手方の債務が弁済期にない場合などは別です。
option4C,string,ja,損害賠償は、別段の意思表示がないときは金銭でその額を定める
option4W,string,ja,損害賠償は、当事者の合意があっても金銭で定めることはできない
feedback4,string,ja,損害賠償は原則として金銭で額を定めます（民法417条）。
