config,csv_schema,2
config,question_id,ETH01
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【研究倫理：捏造・改ざん・盗用】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,存在しないデータや研究結果を作成することは、捏造に当たる
option1W,string,ja,存在しないデータを作っても、結論がもっともらしければ捏造には当たらない
feedback1,string,ja,捏造は、存在しないデータや研究結果などを作成する行為です。研究の信頼性を根本から損ないます。
option2C,string,ja,研究資料・機器・過程を変更し、データや結果を真正でないものにすることは改ざんに当たる
option2W,string,ja,結論に合わない測定値を説明なく削除しても、改ざんになることはない
feedback2,string,ja,変更や除外には科学的根拠と記録が必要で、不適切な操作は改ざんになり得ます。
option3C,string,ja,他者のアイデアや文章、結果を適切な表示なく流用することは盗用に当たり得る
option3W,string,ja,出典を示さず他者の文章をそのまま使っても、教育研究目的なら常に盗用ではない
feedback3,string,ja,引用範囲を明確にし、出典を示すことは、他者の貢献と読者の検証可能性を守ります。
option4C,string,ja,研究不正を防ぐ責任は個人だけでなく、教育・管理・相談体制を整える研究機関にもある
option4W,string,ja,研究不正の防止は研究者個人だけの問題で、研究機関には何の役割もない
feedback4,string,ja,公正な研究活動には、研究者の自律とともに、機関による教育・データ管理・相談・調査体制が必要です。
