config,csv_schema,2
config,question_id,ETH06
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【研究倫理：利益相反】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,利益相反は、金銭的関係だけでなく地位、競争関係、個人的関係からも生じ得る
option1W,string,ja,利益相反は研究費の受領だけを指し、人的関係には決して生じない
feedback1,string,ja,判断へ影響する、または影響すると見られ得る二次的利害を広く検討します。
option2C,string,ja,利益相反を開示することは、読者や機関が研究への影響を評価する助けになる
option2W,string,ja,利益相反は開示すると研究が無効になるため、必ず隠すべきである
feedback2,string,ja,利益相反の存在が直ちに研究不正を意味するわけではなく、透明な開示と適切な管理が重要です。
option3C,string,ja,研究開始前に、所属機関の規程に沿って利益相反を申告・管理する
option3W,string,ja,論文掲載後に問題にならなければ、研究開始時の利益相反確認は不要である
feedback3,string,ja,事前確認により、役割分担、独立評価、データアクセスなどの管理策を講じられます。
option4C,string,ja,利益相反の判断に迷う場合は、自己判断で隠さず所定の窓口へ相談する
option4W,string,ja,申告対象か迷う利害関係は、誰にも相談せず必ず申告しない
feedback4,string,ja,規程ごとに対象範囲が異なるため、迷った段階で担当部署へ確認するのが安全です。
