config,csv_schema,2
config,question_id,ICT01
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【情報・AIリテラシー：認証とパスワード】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,サービスごとに異なる十分に長いパスワードを使うと、漏えい時の連鎖被害を抑えられる
option1W,string,ja,覚えやすくするため、すべてのサービスで同じ短いパスワードを使うのが安全である
feedback1,string,ja,使い回しがあると、一つの漏えい情報を別サービスへ試すリスト型攻撃の被害が広がります。パスワード管理ソフトも役立ちます。
option2C,string,ja,多要素認証は、知識・所持・生体など異なる種類の要素を組み合わせる
option2W,string,ja,同じパスワードを同じ画面で二回入力すれば、必ず多要素認証になる
feedback2,string,ja,回数ではなく異なる認証要素を組み合わせることが多要素認証の要点です。
option3C,string,ja,復旧用コードは、アカウントへログインできない事態に備えて安全な場所へ保管する
option3W,string,ja,復旧用コードは、誰でも見られるSNSへ投稿しておくと安全である
feedback3,string,ja,復旧コードは認証情報そのものなので、通常の端末とは別の安全な場所で管理します。
option4C,string,ja,提供されている場合、フィッシング耐性を持つパスキーの利用を検討できる
option4W,string,ja,パスキーを利用すると、端末の紛失対策やアカウント復旧は一切考えなくてよい
feedback4,string,ja,パスキーは有力な認証手段ですが、端末保護、同期先、復旧手段の確認も必要です。
