config,csv_schema,2
config,question_id,ICT04
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【情報・AIリテラシー：データ共有とアクセス制御】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,共有リンクは、閲覧者、期限、再共有、ダウンロードの設定を目的に合わせて確認する
option1W,string,ja,URLを知る全員が見られる設定は、どのような機密資料にも常に適している
feedback1,string,ja,公開範囲を必要最小限にし、不要になった共有権限は解除します。
option2C,string,ja,個人情報を送る前に、宛先、添付、共有権限を送信直前に再確認する
option2W,string,ja,メールの自動補完で選ばれた宛先は必ず正しいので、確認する必要はない
feedback2,string,ja,誤送信は身近な漏えい原因です。機微性に応じて暗号化や安全な共有サービスも使います。
option3C,string,ja,職務が変わった利用者のアクセス権は、必要性を再確認して更新する
option3W,string,ja,一度与えたアクセス権は、退職後も永久に残すのが安全である
feedback3,string,ja,異動・退職・共同研究終了時の権限見直しは、不要なアクセス経路を減らします。
option4C,string,ja,機密度に応じて、保存場所と持出し方法を組織の規程から選ぶ
option4W,string,ja,機密データは、個人所有の未管理USBへ自由にコピーするのが最も安全である
feedback4,string,ja,管理対象の保存先、暗号化、持出し承認、紛失時の報告手順を確認します。
