config,csv_schema,2
config,question_id,CIV02
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【民法：意思表示と法律行為の効力】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,公の秩序または善良の風俗に反する法律行為は無効である
option1W,string,ja,当事者が合意すれば、公序良俗に反する法律行為も常に有効である
feedback1,string,ja,公序良俗に反する法律行為は無効です（民法90条）。
option2C,string,ja,錯誤による意思表示は、法律上の要件を満たす場合に取り消すことができる
option2W,string,ja,錯誤による意思表示は、どのような場合でも当然に無効となる
feedback2,string,ja,錯誤は重要性など民法95条の要件を満たす場合の取消原因であり、当然無効ではありません。
option3C,string,ja,詐欺または強迫による意思表示は取り消すことができる
option3W,string,ja,詐欺または強迫による意思表示は取り消せない
feedback3,string,ja,詐欺・強迫による意思表示は取り消せます（民法96条1項）。第三者との関係には別の要件があります。
option4C,string,ja,相手方と通じてした虚偽の意思表示は、当事者間では無効である
option4W,string,ja,相手方と通じてした虚偽の意思表示は、当事者間でも常に有効である
feedback4,string,ja,通謀虚偽表示は当事者間では無効です（民法94条1項）。善意の第三者には無効を対抗できません。
