config,csv_schema,2
config,question_id,ETH04
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【研究倫理：引用と盗用防止】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,他者の文章をそのまま使う場合は、引用部分を明確にし出典を示す
option1W,string,ja,参考文献に一度名前を書けば、他者の文章を引用表示なく自由に複製できる
feedback1,string,ja,出典表示だけでなく、どこが引用かを読者が区別できる形にする必要があります。
option2C,string,ja,他者の考えを自分の言葉で要約しても、由来となる出典を示す
option2W,string,ja,語順や語尾を少し変えれば、他者のアイデアでも出典表示は不要になる
feedback2,string,ja,言い換えはアイデアの出所を自分のものに変えません。内容を正確に要約し出典を示します。
option3C,string,ja,自分の既発表文章やデータの再利用でも、重複と出典を適切に開示する
option3W,string,ja,自分が書いた文章なら、既発表であることを隠して新規成果として何度提出してもよい
feedback3,string,ja,自己盗用や重複発表を避けるため、編集方針を確認し、先行発表との関係を透明にします。
option4C,string,ja,引用は原典を実際に確認し、引用内容と書誌情報が正確か確かめる
option4W,string,ja,二次資料の参考文献一覧をコピーすれば、原典を読んだことにしてよい
feedback4,string,ja,孫引きは誤伝達を広げるおそれがあります。原典を確認できない場合は二次引用であることを明示します。
