config,csv_schema,2
config,question_id,ICT05
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【情報・AIリテラシー：バックアップと復旧】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,バックアップは、元データと同じ端末だけでなく別の障害領域にも保持する
option1W,string,ja,元データと同じ一台のディスクにコピーすれば、機器故障への備えとして十分である
feedback1,string,ja,同じ障害やランサムウェアで同時に失わないよう、媒体・場所・アカウントを分けます。
option2C,string,ja,世代管理されたバックアップは、誤削除や破損前の状態へ戻すのに役立つ
option2W,string,ja,常に最新ファイルだけを上書き保存すれば、過去の正常状態は必ず復元できる
feedback2,string,ja,破損や暗号化が同期される場合もあるため、複数世代を保持します。
option3C,string,ja,バックアップは、実際に復元できるか定期的に試験する
option3W,string,ja,バックアップ処理が成功と表示されれば、復元試験は一度も必要ない
feedback3,string,ja,復元手順、権限、暗号鍵、所要時間まで確認して初めて実用的な備えになります。
option4C,string,ja,目標復旧時点と目標復旧時間を考えると、必要な頻度や方式を選びやすい
option4W,string,ja,すべてのデータは重要度に関係なく、同じ頻度・同じ費用でバックアップすべきである
feedback4,string,ja,失って許容できる時間分と停止を許容できる時間を業務影響から決めます。
