config,csv_schema,2
config,question_id,ECO01
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【経済学基礎：希少性と機会費用】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,経済学でいう希少性は、欲求に比べて利用可能な資源が限られていることを指す
option1W,string,ja,経済学でいう希少性は、資源が物理的に一つも存在しないことだけを指す
feedback1,string,ja,希少性は、限られた資源を競合する用途へどう配分するかという経済問題の出発点です。
option2C,string,ja,ある選択の機会費用は、そのために諦めた選択肢のうち最も価値の高いものに対応する
option2W,string,ja,ある選択の機会費用は、その選択に支払った現金だけで常に決まる
feedback2,string,ja,機会費用には明示的費用だけでなく、断念した最善の代替案の価値も含まれます。
option3C,string,ja,すでに支払い回収できない費用は、将来の選択では埋没費用として区別する
option3W,string,ja,回収不能な過去の支出は、将来の意思決定で必ず最大の判断材料にする
feedback3,string,ja,将来の選択は追加的な便益と費用で比較し、回収不能な埋没費用に引きずられないことが基本です。
option4C,string,ja,限界分析では、行動をもう一単位増やしたときの追加便益と追加費用を比較する
option4W,string,ja,限界分析では、過去に費やした総費用だけを比較する
feedback4,string,ja,限界便益と限界費用の比較は、活動水準を決める基本的な考え方です。
