config,csv_schema,2
config,question_id,ECO04
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【経済学基礎：余剰と価格規制】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,消費者余剰は、支払意思額と実際に支払った価格との差として捉えられる
option1W,string,ja,消費者余剰は、企業の売上高と生産費の差だけを指す
feedback1,string,ja,消費者余剰は取引から消費者が得る便益を金額で表す基本概念です。
option2C,string,ja,生産者余剰は、受け取った価格と供給に必要な最低額との差として捉えられる
option2W,string,ja,生産者余剰は、消費者の支払意思額だけで決まる
feedback2,string,ja,生産者余剰は、市場価格が供給曲線で表される限界費用を上回る部分に対応します。
option3C,string,ja,均衡価格より低い上限価格が拘束的に設定されると、超過需要が生じやすい
option3W,string,ja,均衡価格より低い上限価格を設定すると、必ず超過供給が生じる
feedback3,string,ja,低い価格上限では需要量が供給量を上回り、不足や非価格配分が生じる可能性があります。
option4C,string,ja,均衡価格より高い下限価格が拘束的に設定されると、超過供給が生じやすい
option4W,string,ja,均衡価格より高い下限価格を設定すると、必ず超過需要が生じる
feedback4,string,ja,高い価格下限では供給量が需要量を上回り、余剰が生じる可能性があります。
