config,csv_schema,2
config,question_id,ECO07
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【経済学基礎：物価とインフレーション】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,インフレ率は、一般的な物価水準がどの程度変化したかを示す率である
option1W,string,ja,インフレ率は、ある一商品の価格だけで必ず決まる
feedback1,string,ja,インフレーションは広範な物価水準の継続的上昇を指し、物価指数の変化率などで測ります。
option2C,string,ja,インフレ率が低下しても正である限り、物価水準は上昇を続けている
option2W,string,ja,インフレ率が低下したら、物価水準は必ず下落している
feedback2,string,ja,物価上昇の速度が鈍ることと、物価水準そのものが下がるデフレは異なります。
option3C,string,ja,予想外のインフレは、固定金利の貸し手から借り手へ実質的な価値を移すことがある
option3W,string,ja,予想外のインフレは、固定額の債権債務の実質価値に一切影響しない
feedback3,string,ja,返済額が名目で固定されていると、インフレにより返済の実質価値が低下します。
option4C,string,ja,名目金利が一定なら、インフレ率の上昇は事後的な実質金利を低下させる
option4W,string,ja,名目金利が一定でも、インフレ率が上がるほど実質金利は必ず上昇する
feedback4,string,ja,近似的に実質金利は名目金利からインフレ率を引いて捉えられます。
