config,csv_schema,2
config,question_id,ETH08
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【研究倫理：個人情報と匿名化】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,氏名を削除しても、他の情報の組合せから個人を特定できる場合がある
option1W,string,ja,氏名さえ削除すれば、どのような詳細情報を残しても個人は絶対に特定できない
feedback1,string,ja,希少な属性、日時、位置、自由記述などの組合せによる再識別リスクを評価します。
option2C,string,ja,研究データへのアクセス権は、役割に応じて必要最小限にする
option2W,string,ja,研究チームに所属していれば、目的に関係なく全員へ識別情報を公開する
feedback2,string,ja,最小権限、アクセス記録、暗号化などをデータの機微性に応じて組み合わせます。
option3C,string,ja,対応表を用いる仮名化データでは、対応表を研究データと分離して厳重に管理する
option3W,string,ja,対応表は利便性のため、仮名化データと同じ公開フォルダへ置く
feedback3,string,ja,対応表へのアクセスを分離・制限することで、漏えい時の再識別リスクを下げます。
option4C,string,ja,データ共有では、同意内容、法令、倫理承認、利用契約を確認する
option4W,string,ja,研究目的なら、取得時の説明や利用条件に関係なく個人データを自由に公開できる
feedback4,string,ja,二次利用や共同研究では、当初の利用目的と共有条件を確認し、必要な手続を取ります。
