config,csv_schema,2
config,question_id,CIV08
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【民法：不法行為】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,故意または過失で他人の権利・法律上保護される利益を侵害した者は、原則として損害賠償責任を負う
option1W,string,ja,他人に損害を与えても、故意・過失による権利侵害であれば損害賠償責任は生じない
feedback1,string,ja,一般不法行為責任の基本要件は民法709条に定められています。
option2C,string,ja,自己の行為の責任を弁識する知能がなかった未成年者は、その行為について賠償責任を負わない
option2W,string,ja,未成年者は責任能力の有無にかかわらず、常に成人と同じ不法行為責任を負う
feedback2,string,ja,未成年者でも年齢だけで一律に決まらず、責任能力がなければ本人は責任を負いません（民法712条）。監督義務者の責任は別です。
option3C,string,ja,事業のために他人を使用する者は、被用者が事業の執行について第三者に加えた損害を賠償する場合がある
option3W,string,ja,従業員が業務中に第三者へ損害を与えても、使用者が責任を負うことは絶対にない
feedback3,string,ja,使用者責任は民法715条に定められ、使用者の免責や求償なども問題になります。
option4C,string,ja,共同不法行為者は、被害者に対して連帯して損害を賠償する責任を負う
option4W,string,ja,共同不法行為者は、被害者に対して誰も賠償責任を負わない
feedback4,string,ja,共同不法行為には連帯責任が定められています（民法719条）。
