config,csv_schema,2
config,question_id,ECO10
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【経済学基礎：比較優位と国際貿易】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,比較優位は、他者より低い機会費用で生産できることを意味する
option1W,string,ja,比較優位は、すべての財を他者より多く生産できることだけを意味する
feedback1,string,ja,生産性の絶対水準を比べる絶対優位と、機会費用を比べる比較優位は異なります。
option2C,string,ja,一国がすべての財で絶対優位を持っていても、機会費用の差があれば貿易利益が生じ得る
option2W,string,ja,一国がすべての財で絶対優位を持つと、相互に利益のある貿易は絶対に不可能である
feedback2,string,ja,比較優位に沿った特化と交換により、双方の消費可能性が広がる場合があります。
option3C,string,ja,輸入関税は国内価格を押し上げ、輸入量を減らす方向に働くことが多い
option3W,string,ja,輸入関税は国内価格を必ず下げ、輸入量を増やす
feedback3,string,ja,関税は輸入品の国内価格に上乗せされ、消費者・生産者・政府収入へ異なる影響を与えます。
option4C,string,ja,貿易による国全体の利益があっても、国内のすべての人が同じように利益を得るとは限らない
option4W,string,ja,貿易が国全体に利益をもたらすなら、国内で不利益を受ける人は絶対に存在しない
feedback4,string,ja,貿易は総余剰を増やし得ますが、輸入競争部門などに調整費用や分配上の損失が生じることがあります。
