config,csv_schema,2
config,question_id,ECO08
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【経済学基礎：失業と労働市場】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,失業者には、一般に仕事がなく、就業可能で、求職活動をしている人が含まれる
option1W,string,ja,仕事をしていない人は、求職意思に関係なく全員が失業者に分類される
feedback1,string,ja,失業と非労働力人口は区別され、求職活動や就業可能性が失業判定の要素になります。
option2C,string,ja,摩擦的失業は、転職や新規就業に伴う探索期間などから生じる
option2W,string,ja,摩擦的失業は、景気後退による需要不足だけから生じる
feedback2,string,ja,仕事と労働者のマッチングには時間がかかるため、景気が良くても摩擦的失業は存在します。
option3C,string,ja,構造的失業は、求められる技能や地域と求職者側の条件の不一致から生じ得る
option3W,string,ja,構造的失業は、技能や勤務地の不一致とは無関係である
feedback3,string,ja,産業構造や技術の変化により、求人と求職の条件が合わない場合があります。
option4C,string,ja,労働力率は、生産年齢人口などの基準人口に占める労働力人口の割合として捉える
option4W,string,ja,労働力率と失業率は、定義上まったく同じ指標である
feedback4,string,ja,労働力率は労働市場への参加、失業率は労働力人口のうち失業者の割合を表します。
