config,csv_schema,2
config,question_id,STA05
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【統計リテラシー：確率と条件付き確率】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,互いに排反な事象は、同時には起こらない
option1W,string,ja,互いに排反な事象は、必ず同時に起こる
feedback1,string,ja,排反は積事象が空であることを意味します。独立とは別の概念です。
option2C,string,ja,独立な二事象では、一方が起きたという情報によって他方の確率は変わらない
option2W,string,ja,独立な二事象では、一方が起きると他方は必ず起きなくなる
feedback2,string,ja,独立なら条件付き確率が元の確率と一致します。排反な正確率の事象は独立ではありません。
option3C,string,ja,条件付き確率では、条件を満たす集団を新しい基準として割合を考える
option3W,string,ja,条件付き確率では、条件に関係なく常に母集団全体だけを分母にする
feedback3,string,ja,P(A|B)はBが起きた場合に範囲を絞り、その中でAが起きる割合です。
option4C,string,ja,まれな事象の判定では、検査精度だけでなく事前確率も事後確率に影響する
option4W,string,ja,まれな事象でも、陽性なら事前確率に関係なく必ず真である
feedback4,string,ja,ベイズの考え方では、感度・特異度に加えて有病率などの事前確率が陽性的中率を左右します。
