config,csv_schema,2
config,question_id,ETH02
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【研究倫理：研究記録とデータ管理】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,研究記録は、第三者が経過を追えるよう日付、条件、判断理由を具体的に残す
option1W,string,ja,研究記録は、最終的な成功例だけ残し、失敗や条件変更はすべて消す
feedback1,string,ja,試行錯誤を含む研究過程の記録は、再現、検証、引継ぎ、不正疑義への説明に役立ちます。
option2C,string,ja,元データと加工後データを区別し、どの処理をしたか追跡できるようにする
option2W,string,ja,解析後の図があれば、元データや処理手順は残す必要がない
feedback2,string,ja,由来と加工履歴を追えるデータプロベナンスが、結果の検証可能性を支えます。
option3C,string,ja,データの保存期間・場所・アクセス権は、法令や研究機関、研究費の規程に従って定める
option3W,string,ja,研究データは、研究者がいつでも無条件で全消去してよい
feedback3,string,ja,分野やデータの性質で要件が異なるため、研究開始前にデータ管理計画を確認します。
option4C,string,ja,重要データは、障害や誤操作に備えて復元可能なバックアップを用意する
option4W,string,ja,クラウドに一つ保存すれば、アクセス不能や誤削除への備えは一切不要である
feedback4,string,ja,複数世代や別媒体のバックアップと、実際に復元できるかの確認が重要です。
