config,csv_schema,2
config,question_id,ICT08
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【情報・AIリテラシー：表計算とデータ品質】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,1列には同じ意味と型の値を入れ、単位や欠測値の表現を定義する
option1W,string,ja,一つの列に日付、氏名、備考、複数単位の数値を混在させるほど分析しやすい
feedback1,string,ja,整然としたデータ構造とデータ辞書は、集計ミスや変換時の解釈違いを減らします。
option2C,string,ja,数式をコピーした後は、相対参照と絶対参照が意図どおりか確認する
option2W,string,ja,表計算の数式はコピーしても参照先が変わらないので、確認は不要である
feedback2,string,ja,相対参照は位置に応じて変化します。固定すべき行・列には絶対参照を使います。
option3C,string,ja,並べ替えでは、関連する全列を同じ表範囲として扱う
option3W,string,ja,氏名列だけを単独で並べ替えても、隣の成績との対応は必ず保たれる
feedback3,string,ja,一列だけの並べ替えはレコードの対応を壊します。表全体の選択とバックアップを確認します。
option4C,string,ja,集計結果は、元データ件数、欠測、重複、範囲外値と突き合わせて検算する
option4W,string,ja,グラフが見栄えよく表示されれば、入力ミスや欠測は存在しない
feedback4,string,ja,入力規則、ピボット集計、別計算、サンプル照合など複数の方法で品質を確認します。
