config,csv_schema,2
config,question_id,STA08
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【統計リテラシー：仮説検定とp値】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,p値は、帰無仮説のもとで観測結果以上に極端なデータが得られる確率である
option1W,string,ja,p値は、帰無仮説が正しい確率そのものである
feedback1,string,ja,p値はデータの帰無仮説との整合性を測る量で、仮説自体の事後確率ではありません。
option2C,string,ja,有意水準は、帰無仮説が正しいときに誤って棄却する確率の基準に関係する
option2W,string,ja,有意水準5%なら、得られた研究結論が誤りである確率が必ず5%になる
feedback2,string,ja,有意水準は第1種の誤りを制御する設計上の基準で、個別結論の誤り確率とは同一ではありません。
option3C,string,ja,統計的に有意でも、効果量が小さく実務上重要でない場合がある
option3W,string,ja,統計的に有意なら、効果は必ず大きく実務上も重要である
feedback3,string,ja,標本数が大きいと小さな差も有意になり得るため、効果量と信頼区間も確認します。
option4C,string,ja,帰無仮説を棄却できないことは、帰無仮説が真だと証明したことにはならない
option4W,string,ja,帰無仮説を棄却できなければ、帰無仮説が真であることが完全に証明される
feedback4,string,ja,検出力不足や標本の小ささでも棄却できないため、証拠不足と同値性の証明を区別します。
