config,csv_schema,2
config,question_id,STA02
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【統計リテラシー：変数と尺度】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,名義尺度の数値コードは、カテゴリーを区別するラベルとして使われることがある
option1W,string,ja,名義尺度のコード番号には、常に数量としての大小や差の意味がある
feedback1,string,ja,学科を1、2、3と符号化しても、数字の差が学科間の量的な差を表すわけではありません。
option2C,string,ja,順序尺度では順番に意味があるが、隣り合う段階の差が等しいとは限らない
option2W,string,ja,順序尺度では、カテゴリーの順番にも間隔にも必ず数量的な意味がない
feedback2,string,ja,満足度などは順序を持ちますが、段階間の心理的距離が等間隔とは限りません。
option3C,string,ja,摂氏温度では差に意味があるが、20度が10度の2倍の温かさとはいえない
option3W,string,ja,摂氏温度では、20度は10度のちょうど2倍の温かさを意味する
feedback3,string,ja,摂氏温度のゼロ点は便宜的で、比率に絶対的な意味を持つ比例尺度ではありません。
option4C,string,ja,身長や質量のように真のゼロ点を持つ量では、比率を解釈できる
option4W,string,ja,真のゼロ点を持つ量でも、2倍という比率には一切意味がない
feedback4,string,ja,比例尺度では差だけでなく比も解釈できます。測定対象と単位の妥当性は別途確認が必要です。
