config,csv_schema,2
config,question_id,ICT10
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【情報・AIリテラシー：デジタル・アクセシビリティ】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,画像に代替テキストを付けると、画像を見られない利用者にも内容を伝えやすい
option1W,string,ja,重要情報を画像だけで示し代替テキストを付けない方が、すべての利用者に伝わりやすい
feedback1,string,ja,装飾画像は空の代替テキスト、意味のある画像は目的に応じた簡潔な説明を設定します。
option2C,string,ja,色だけに依存せず、文字・記号・形でも状態を区別できるようにする
option2W,string,ja,エラーと成功を赤と緑だけで示せば、誰にでも必ず区別できる
feedback2,string,ja,色覚の違いやモノクロ表示でも理解できるよう、ラベルやアイコンを併用します。
option3C,string,ja,見出しを論理的な階層で付けると、支援技術による移動や文書理解を助ける
option3W,string,ja,文字を大きく太くするだけで、支援技術にも必ず見出しとして伝わる
feedback3,string,ja,見た目だけでなくHTMLや文書機能の見出し構造を使い、章節の関係を機械可読にします。
option4C,string,ja,動画には、音声情報を伝える字幕や必要に応じた説明を用意する
option4W,string,ja,動画に音声があれば、聴覚や利用環境に関係なく全員へ情報が伝わる
feedback4,string,ja,字幕、文字起こし、音声解説などを内容と利用者に合わせて提供します。自動字幕は誤りを確認します。
