config,csv_schema,2
config,question_id,ICT02
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【情報・AIリテラシー：フィッシング対策】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,緊急性をあおるメールでも、リンクを開く前に送信元と遷移先を別経路で確認する
option1W,string,ja,『至急』と書かれたメールは正規組織からのものなので、確認せずリンクを開く
feedback1,string,ja,攻撃者は期限、停止、返金などで判断を急がせます。公式アプリや登録済みブックマークから確認します。
option2C,string,ja,表示名が知人や大学名でも、実際のメールアドレスや文脈を確認する
option2W,string,ja,メールの表示名が知人と同じなら、送信元を偽装されることはない
feedback2,string,ja,表示名は容易に偽装できます。アドレス、署名、依頼内容、別経路での本人確認を組み合わせます。
option3C,string,ja,ログインを求めるリンクでは、ドメイン名とHTTPS証明書の警告を確認する
option3W,string,ja,鍵マークが表示されれば、そのサイトの運営者は必ず信頼できる
feedback3,string,ja,HTTPSは通信経路の保護を示しますが、詐欺サイトもHTTPSを使えます。正しいドメインかが重要です。
option4C,string,ja,認証情報を入力してしまった場合は、直ちに正規サイトで変更し管理部署へ連絡する
option4W,string,ja,フィッシングサイトへパスワードを入力しても、画面を閉じれば追加対応は不要である
feedback4,string,ja,漏えいした認証情報の無効化、セッション確認、使い回し先の変更、組織への報告を速やかに行います。
