config,csv_schema,2
config,question_id,NUR03
config,mode,rb
config,num_options,5
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【感染対策】手指衛生の方法に関する次の記述について答えよ。__SELPROMPT__
option1C,string,ja,手が目に見えて汚れている場合は、流水と石けんで洗う
option1W,string,ja,手が目に見えて汚れている場合も、乾いた布で拭くだけでよい
feedback1,string,ja,目に見える汚れがある場合は、流水と石けんによる手洗いが必要です。
option2C,string,ja,目に見える汚れがない多くの臨床場面では、アルコール手指消毒薬を使用できる
option2W,string,ja,目に見える汚れがない場合でも、アルコール手指消毒薬は使用してはならない
feedback2,string,ja,手が目に見えて汚れていない多くの臨床場面では、擦式アルコール製剤が利用されます。
option3C,string,ja,手指消毒薬は、手指全体へ行き渡るように擦り込む
option3W,string,ja,手指消毒薬は、指先だけに少量付ければ十分である
feedback3,string,ja,指先、指間、手背などを含め、手指全体へ十分に行き渡らせます。
option4C,string,ja,手指衛生に必要な物品は、ケアを行う場所で利用しやすくする
option4W,string,ja,手指衛生用品は、患者ケア区域から離れた場所だけに置く
feedback4,string,ja,必要なタイミングで実施できるよう、手指衛生用品へのアクセスを確保します。
option5C,string,ja,手指衛生後は、手が乾いてから患者や物品に触れる
option5W,string,ja,手指消毒薬が濡れたままでも、すぐ手袋を着用する
feedback5,string,ja,擦式製剤は乾くまで擦り込み、手が乾いてから次の操作へ進みます。
