config,csv_schema,2
config,question_id,STA04
config,mode,rb
config,num_options,4
config,num_correct,1
config,require_pairs,true
config,feedback_by_truth,false
config,base_language,ja
qtextL,string,ja,【統計リテラシー：ばらつき】次の各記述を検討せよ。__SELPROMPT__
option1C,string,ja,分散は、平均からの偏差を二乗して平均する考え方に基づく
option1W,string,ja,分散は、平均からの偏差を符号付きのまま合計するだけで求める
feedback1,string,ja,平均からの偏差の和はゼロになるため、分散では偏差を二乗してばらつきを測ります。
option2C,string,ja,標準偏差は分散の平方根で、元のデータと同じ単位を持つ
option2W,string,ja,標準偏差は分散を二乗した値で、元のデータと必ず異なる単位を持つ
feedback2,string,ja,平方根を取ることで、標準偏差は身長ならcmのように元データと同じ単位になります。
option3C,string,ja,すべての観測値が同じなら、標準偏差はゼロになる
option3W,string,ja,すべての観測値が同じでも、標準偏差は必ず正になる
feedback3,string,ja,平均からの偏差がすべてゼロなので、分散も標準偏差もゼロです。
option4C,string,ja,四分位範囲は、外れ値の影響を標準偏差より受けにくい散布度である
option4W,string,ja,四分位範囲は最大値と最小値だけで決まり、外れ値に最も敏感である
feedback4,string,ja,第3四分位数と第1四分位数の差が四分位範囲で、分布中央50%の広がりを表します。
